Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Car_Age
3.35,5.59,27000,2,0,1,0,12
4.75,9.54,43000,1,0,1,0,13
7.25,9.85,6900,2,0,1,0,9
2.85,4.15,5200,2,0,1,0,15
4.6,6.87,42450,1,0,1,0,12
9.25,9.83,2071,1,0,1,0,8
6.75,8.12,18796,2,0,1,0,11
6.5,8.61,33429,1,0,1,0,11
8.75,8.89,20273,1,0,1,0,10
7.45,8.92,42367,1,0,1,0,11
2.85,3.6,2135,2,0,1,0,9
6.85,10.38,51000,1,0,1,0,11
7.5,9.94,15000,2,0,0,0,11
6.1,7.71,26000,2,0,1,0,11
2.25,7.21,77427,2,0,1,0,17
7.75,10.79,43000,1,0,1,0,10
7.25,10.79,41678,1,0,1,0,11
3.25,5.09,35500,0,0,1,0,11
2.65,7.98,41442,2,0,1,0,16
2.85,3.95,25000,2,0,1,0,10
4.9,5.71,2400,2,0,1,0,9
4.4,8.01,50000,2,0,0,0,15
2.5,3.46,45280,2,0,1,0,12
2.9,4.41,56879,2,0,1,0,13
3.0,4.99,20000,2,0,1,0,15
4.15,5.87,55138,2,0,1,0,13
6.0,6.49,16200,2,1,1,0,9
1.95,3.95,44542,2,0,1,0,16
7.45,10.38,45000,1,0,1,0,11
3.1,5.98,51439,1,0,1,0,14
2.35,4.89,54200,2,0,1,0,15
4.95,7.49,39000,1,0,1,0,12
6.0,9.95,45000,1,0,1,0,12
5.5,8.06,45000,1,0,1,0,12
2.95,7.74,49998,0,0,1,0,15
4.65,7.2,48767,2,0,1,0,11
0.35,2.28,127000,2,1,1,0,23
3.0,3.76,10079,2,0,1,0,10
2.25,7.98,62000,2,0,1,0,23
5.85,7.87,24524,2,0,0,0,10
2.55,3.98,46706,2,0,1,0,12
1.95,7.15,58000,2,0,1,0,18
5.5,8.06,45780,1,0,1,0,12
1.25,2.69,50000,2,0,1,0,14
7.5,12.04,15000,2,0,0,0,12
2.65,4.89,64532,2,0,1,0,13
1.05,4.15,65000,2,0,1,0,20
5.8,7.71,25870,2,0,1,0,11
7.75,9.29,37000,2,0,0,0,9
14.9,30.61,104707,1,0,0,0,14
23.0,30.61,40000,1,0,0,0,11
18.0,19.77,15000,1,0,0,0,9
16.0,30.61,135000,1,1,0,0,13
2.75,10.21,90000,2,1,1,0,21
3.6,15.04,70000,2,0,0,0,17
4.5,7.27,40534,2,0,1,0,11
4.75,18.54,50000,2,0,1,0,16
4.1,6.8,39485,2,0,1,1,12
19.99,35.96,41000,1,0,0,0,12
6.95,18.61,40001,2,0,1,0,13
4.5,7.7,40588,2,0,1,0,11
18.75,35.96,78000,1,0,0,0,12
23.5,35.96,47000,1,0,0,0,11
33.0,36.23,6000,1,0,0,0,9
4.75,6.95,45000,1,0,1,0,12
19.75,23.15,11000,2,0,0,0,9
9.25,20.45,59000,1,0,1,0,16
4.35,13.74,88000,2,0,1,0,15
14.25,20.91,12000,2,0,1,0,10
3.95,6.76,71000,1,0,1,0,12
4.5,12.48,45000,1,0,1,0,15
7.45,18.61,56001,2,0,1,0,13
2.65,5.71,43000,2,0,1,0,15
4.9,8.93,83000,1,0,1,0,12
3.95,6.8,36000,2,0,1,0,11
5.5,14.68,72000,2,0,1,0,13
1.5,12.35,135154,2,0,0,0,22
5.25,22.83,80000,2,0,0,0,16
14.5,30.61,89000,1,0,0,0,14
14.73,14.89,23000,1,0,1,0,10
4.75,7.85,40000,1,0,1,0,11
23.0,25.39,15000,1,0,0,0,9
12.5,13.46,38000,1,0,1,0,11
3.49,13.46,197176,1,0,1,0,21
2.5,23.73,142000,2,1,0,3,20
